model,epoch,metrics/mAP50-95(B)
yolo8l,50,0.64216
yolo8l,100,0.69226
yolo8l,150,0.71465
yolo8l,200,0.71459
yolo8m,50,0.64427
yolo8m,100,0.70234
yolo8m,150,0.71922
yolo8m,200,0.70957
yolo8n,50,0.48765
yolo8n,100,0.59968
yolo8n,150,0.61087
yolo8n,200,0.6388
yolo8s,50,0.61288
yolo8s,100,0.66697
yolo8s,150,0.67049
yolo8s,200,0.68739
yolo8x,50,0.66566
yolo8x,100,0.70216
yolo8x,150,0.71386
yolo8x,200,0.72337
