model,epoch,metrics/mAP50-95(B)
yolov8l,50,0.58354
yolov8l,100,0.69617
yolov8l,150,0.70382
yolov8l,200,0.7316
yolov8l,250,0.74608
yolov8l,300,0.74597
yolov8m,50,0.54518
yolov8m,100,0.70443
yolov8m,150,0.71004
yolov8m,200,0.73167
yolov8m,250,0.74611
yolov8m,300,0.74494
yolov8n,50,0.54743
yolov8n,100,0.57285
yolov8n,150,0.64278
yolov8n,200,0.67686
yolov8n,250,0.68101
yolov8n,300,0.666
yolov8s,50,0.58564
yolov8s,100,0.66194
yolov8s,150,0.69517
yolov8s,200,0.69644
yolov8s,250,0.74167
yolov8s,300,0.72567
yolov8x,50,0.61416
yolov8x,100,0.6319
yolov8x,150,0.70635
yolov8x,200,0.73829
yolov8x,250,0.74395
yolov8x,300,0.74831
