model,epoch,metrics/mAP50-95(B)
yolo26l,50,0.63699
yolo26l,100,0.71591
yolo26l,150,0.73788
yolo26l,200,0.74999
yolo26l,250,0.75525
yolo26l,300,0.75404
yolo26m,50,0.61744
yolo26m,100,0.69555
yolo26m,150,0.73502
yolo26m,200,0.74876
yolo26m,250,0.7666
yolo26m,300,0.75621
yolo26n,50,0.46386
yolo26n,100,0.58879
yolo26n,150,0.61512
yolo26n,200,0.6454
yolo26n,250,0.65759
yolo26n,300,0.64562
yolo26s,50,0.57148
yolo26s,100,0.65147
yolo26s,150,0.6993
yolo26s,200,0.73516
yolo26s,250,0.74126
yolo26s,300,0.73568
yolo26x,50,0.62327
yolo26x,100,0.71568
yolo26x,150,0.71717
yolo26x,200,0.75409
yolo26x,250,0.74995
yolo26x,300,0.7607
