model,epoch,metrics/mAP50-95(B)
yolo26l,50,0.6328
yolo26l,100,0.6998
yolo26l,150,0.70752
yolo26l,200,0.7302
yolo26m,50,0.61636
yolo26m,100,0.69628
yolo26m,150,0.71174
yolo26m,200,0.72513
yolo26n,50,0.37656
yolo26n,100,0.54197
yolo26n,150,0.59744
yolo26n,200,0.62287
yolo26s,50,0.55628
yolo26s,100,0.62998
yolo26s,150,0.66051
yolo26s,200,0.66773
yolo26x,50,0.65225
yolo26x,100,0.70756
yolo26x,150,0.72725
yolo26x,200,0.72492
