model,epoch,metrics/mAP50-95(B)
yolo11l,50,0.59101
yolo11l,100,0.68118
yolo11l,150,0.66487
yolo11l,200,0.73649
yolo11l,250,0.73555
yolo11l,300,0.74601
yolo11m,50,0.56158
yolo11m,100,0.6943
yolo11m,150,0.73409
yolo11m,200,0.71917
yolo11m,250,0.74433
yolo11m,300,0.74851
yolo11n,50,0.49862
yolo11n,100,0.58567
yolo11n,150,0.62227
yolo11n,200,0.65712
yolo11n,250,0.66742
yolo11n,300,0.64329
yolo11s,50,0.55479
yolo11s,100,0.63414
yolo11s,150,0.71291
yolo11s,200,0.72188
yolo11s,250,0.74321
yolo11s,300,0.74747
yolo11x,50,0.5324
yolo11x,100,0.65974
yolo11x,150,0.60459
yolo11x,200,0.71427
yolo11x,250,0.74778
yolo11x,300,0.74565
